"ID","NAME","STATUS","PREFIXES AS URL","PREFIXES AS LRU","HOME PAGE","START PAGES","CRAWLED","CRAWLING STATUS","INDEXING STATUS","INDEGREE","OUTDEGREE","NEIGHBOORS COUNT","TOTAL KNOWN PAGES","CRAWLED PAGES","CREATION TIMESTAMP","CREATION DATE","LAST MODIFICATION TIMESTAMP","LAST MODIFICATION DATE","Crawl Source (TAGS)","forme éditoriale (TAGS)","acteur (TAGS)","mergedWebEntities (TECHNICAL INFO)","recrawlNeeded (TECHNICAL INFO)","createdBy (TECHNICAL INFO)"
"8","Lepartidegauche.fr","IN","http://lepartidegauche.fr http://www.lepartidegauche.fr https://lepartidegauche.fr https://www.lepartidegauche.fr","s:https|h:fr|h:lepartidegauche| s:https|h:fr|h:lepartidegauche|h:www| s:http|h:fr|h:lepartidegauche| s:http|h:fr|h:lepartidegauche|h:www|","http://adherents.lepartidegauche.fr","http://lepartidegauche.fr http://www.lepartidegauche.fr http://www.lepartidegauche.fr/index.php?option=com_content&view=article&id=125%3Aderniere-minute&catid=42%3Aeditoriaux&Itemid=90 http://www.lepartidegauche.fr/index.php?option=com_content&view=article&id=127%3Aune-rencontre-dynamisante-et-stimulante&catid=42%3Aeditoriaux&Itemid=90 http://www.lepartidegauche.fr/index.php?option=com_content&view=article&id=305%3Arencontre-avec-le-poi&catid=57%3Arencontres&Itemid=119 http://www.lepartidegauche.fr/les-elus-du-pg http://www.lepartidegauche.fr/partout-autonome-unitaire https://lepartidegauche.fr https://www.lepartidegauche.fr","true","FINISHED","FINISHED","42","226","246","7712","2185","1649241366700","2022-04-06T10:36:06.700Z","1649320350559","2022-04-07T08:32:30.559Z","archivesinternet.bnf.fr","site","formation politique","","",""
"12","Gauche-Unitaire.fr","IN","http://gauche-unitaire.fr http://www.gauche-unitaire.fr https://gauche-unitaire.fr https://www.gauche-unitaire.fr","s:https|h:fr|h:gauche-unitaire| s:https|h:fr|h:gauche-unitaire|h:www| s:http|h:fr|h:gauche-unitaire| s:http|h:fr|h:gauche-unitaire|h:www|","http://rhone-alpes.gauche-unitaire.fr","http://gauche-unitaire.fr http://www.gauche-unitaire.fr http://www.gauche-unitaire.fr/zoom/ https://gauche-unitaire.fr https://www.gauche-unitaire.fr","true","FINISHED","FINISHED","18","21","38","963","568","1649241366700","2022-04-06T10:36:06.700Z","1649320350611","2022-04-07T08:32:30.611Z","archivesinternet.bnf.fr","site","formation politique","","",""
"13","Lafederation.org","IN","http://lafederation.org http://www.lafederation.org https://lafederation.org https://www.lafederation.org","s:https|h:org|h:lafederation| s:https|h:org|h:lafederation|h:www| s:http|h:org|h:lafederation| s:http|h:org|h:lafederation|h:www|","http://lafederation.org","http://lafederation.org http://lafederation.org/index.php?option=com_content&view=article&id=325%3Ale-capitalisme-toxique&catid=91%3Adebat-urgences-analyses-et-perspectives&Itemid=72 http://www.lafederation.org https://lafederation.org https://www.lafederation.org","true","FINISHED","FINISHED","14","717","722","13184","5017","1649241366700","2022-04-06T10:36:06.700Z","1649320447158","2022-04-07T08:34:07.158Z","archivesinternet.bnf.fr","site","formation politique","","",""
"16","Pcf.fr","IN","http://pcf.fr http://www.pcf.fr https://pcf.fr https://www.pcf.fr","s:https|h:fr|h:pcf| s:https|h:fr|h:pcf|h:www| s:http|h:fr|h:pcf| s:http|h:fr|h:pcf|h:www|","http://www.pcf.fr","http://pcf.fr http://www.pcf.fr http://www.pcf.fr/10958 http://www.pcf.fr/7379 http://www.pcf.fr/8419 http://www.pcf.fr/9790 https://pcf.fr https://www.pcf.fr","true","FINISHED","FINISHED","35","246","271","14404","4713","1649241366701","2022-04-06T10:36:06.701Z","1649320447457","2022-04-07T08:34:07.457Z","archivesinternet.bnf.fr","site","formation politique","","",""
"20","Pcof.net","IN","http://pcof.net http://www.pcof.net https://pcof.net https://www.pcof.net","s:https|h:net|h:pcof| s:https|h:net|h:pcof|h:www| s:http|h:net|h:pcof| s:http|h:net|h:pcof|h:www|","http://www.pcof.net","http://pcof.net http://www.pcof.net https://pcof.net https://www.pcof.net","true","FINISHED","FINISHED","3","1","4","152","78","1649241366701","2022-04-06T10:36:06.701Z","1649320447573","2022-04-07T08:34:07.573Z","archivesinternet.bnf.fr","site","formation politique","","",""
"23","Placeaupeuple2012.fr","IN","http://frontdegauche.eu http://frontdegauche.fr http://placeaupeuple2012.fr http://www.frontdegauche.eu http://www.placeaupeuple2012.fr https://frontdegauche.eu https://frontdegauche.fr https://placeaupeuple2012.fr https://www.placeaupeuple2012.fr","s:https|h:eu|h:frontdegauche| s:https|h:fr|h:frontdegauche| s:https|h:fr|h:placeaupeuple2012| s:https|h:fr|h:placeaupeuple2012|h:www| s:http|h:eu|h:frontdegauche| s:http|h:eu|h:frontdegauche|h:www| s:http|h:fr|h:frontdegauche| s:http|h:fr|h:placeaupeuple2012| s:http|h:fr|h:placeaupeuple2012|h:www|","http://www.placeaupeuple2012.fr","http://feministe.appels.frontdegauche.fr http://frontdegauche.eu http://frontdegauche.fr http://placeaupeuple2012.fr http://www.frontdegauche.eu http://www.frontdegauche.eu http://www.frontdegauche.eu/index.php?option=com_content&view=article&id=618%3Ale-philosophe-michel-onfray-apporte-son-soutien-au-front-de-gauche&catid=98%3Ails-soutiennent-le-front-de-gauche&Itemid=115 http://www.frontdegauche.eu/index.php?option=com_content&view=category&layout=blog&id=39&Itemid=41 http://www.frontdegauche.eu/index.php?option=com_content&view=section&layout=blog&id=15&Itemid=2 http://www.frontdegauche.eu/index.php?option=com_petitions&view=petition&id=84&Itemid=48 http://www.frontdegauche.eu/index.php?view=article&id=483%3A36-economistes-soutiennent-le-front-de-gauche&option=com_content&Itemid=115 http://www.frontdegauche.fr http://www.frontdegauche.fr http://www.placeaupeuple2012.fr http://www.placeaupeuple2012.fr/je-donne/ http://www.placeaupeuple2012.fr/jean-luc-melenchon-les-pme-les-tpe/ http://www.placeaupeuple2012.fr/liste-dappui-a-la-candidature-de-jean-luc/ https://frontdegauche.eu https://frontdegauche.fr https://placeaupeuple2012.fr https://www.frontdegauche.eu https://www.frontdegauche.fr https://www.placeaupeuple2012.fr","true","FINISHED","FINISHED","45","66","103","1240","159","1649241366701","2022-04-06T10:36:06.701Z","1649341298941","2022-04-07T14:21:38.941Z","archivesinternet.bnf.fr","site","campagne","52: Frontdegauche.fr (IN)|5: Frontdegauche.eu (IN)","true",""
"24","Republiqueetsocialisme.fr","IN","http://republiqueetsocialisme.fr http://www.republiqueetsocialisme.fr https://republiqueetsocialisme.fr https://www.republiqueetsocialisme.fr","s:https|h:fr|h:republiqueetsocialisme| s:https|h:fr|h:republiqueetsocialisme|h:www| s:http|h:fr|h:republiqueetsocialisme| s:http|h:fr|h:republiqueetsocialisme|h:www|","http://www.republiqueetsocialisme.fr","http://republiqueetsocialisme.fr http://www.republiqueetsocialisme.fr http://www.republiqueetsocialisme.fr/spip.php?article342 https://republiqueetsocialisme.fr https://www.republiqueetsocialisme.fr","true","FINISHED","FINISHED","2","15","17","1229","102","1649241366701","2022-04-06T10:36:06.701Z","1649320472292","2022-04-07T08:34:32.292Z","archivesinternet.bnf.fr","site","formation politique","","",""
"26","Alternatifs.org","IN","http://alternatifs.org http://www.alternatifs.org https://alternatifs.org https://www.alternatifs.org","s:https|h:org|h:alternatifs| s:https|h:org|h:alternatifs|h:www| s:http|h:org|h:alternatifs| s:http|h:org|h:alternatifs|h:www|","http://www.alternatifs.org","http://alternatifs.org http://www.alternatifs.org http://www.alternatifs.org/spip/alternatifs-et-elections-de-2012 http://www.alternatifs.org/spip/les-alternatifs-et-les-elections http://www.alternatifs.org/spip/position-des-alternatifs-pour-les http://www.alternatifs.org/spip/une-strategie-autogestionnaire https://alternatifs.org https://www.alternatifs.org","true","FINISHED","FINISHED","9","27","36","2013","124","1649241366701","2022-04-06T10:36:06.701Z","1649320472367","2022-04-07T08:34:32.367Z","archivesinternet.bnf.fr","site","formation politique","","",""
"31","Jean-Luc-Melenchon.fr","IN","http://jean-luc-melenchon.com http://jean-luc-melenchon.fr http://www.jean-luc-melenchon.fr https://jean-luc-melenchon.com https://jean-luc-melenchon.fr https://www.jean-luc-melenchon.com https://www.jean-luc-melenchon.fr","s:https|h:com|h:jean-luc-melenchon| s:https|h:com|h:jean-luc-melenchon|h:www| s:https|h:fr|h:jean-luc-melenchon| s:https|h:fr|h:jean-luc-melenchon|h:www| s:http|h:com|h:jean-luc-melenchon| s:http|h:fr|h:jean-luc-melenchon| s:http|h:fr|h:jean-luc-melenchon|h:www|","http://www.jean-luc-melenchon.fr","http://jean-luc-melenchon.com http://jean-luc-melenchon.fr http://www.jean-luc-melenchon.com http://www.jean-luc-melenchon.com http://www.jean-luc-melenchon.com/agissons/ http://www.jean-luc-melenchon.com/arguments/ http://www.jean-luc-melenchon.com/liste-dappui-a-ma-candidature http://www.jean-luc-melenchon.com/liste-dappui-a-ma-candidature/ http://www.jean-luc-melenchon.fr http://www.jean-luc-melenchon.fr/2007/09/23/il-ya-breton-et-breton/ http://www.jean-luc-melenchon.fr/2008/04/07/je-ne-suis-pas-daccord-avec-le-boycott-des-jeux-de-pekin-et-la-propagande-anti-chinoise/ http://www.jean-luc-melenchon.fr/?p=298 http://www.jean-luc-melenchon.fr/?p=585 https://jean-luc-melenchon.com https://jean-luc-melenchon.fr https://www.jean-luc-melenchon.com https://www.jean-luc-melenchon.fr","true","FINISHED","FINISHED","34","1413","1422","30445","2485","1649241366701","2022-04-06T10:36:06.701Z","1649335801222","2022-04-07T12:50:01.222Z","archivesinternet.bnf.fr","site","candidat","136: Jean-Luc-Melenchon.com (IN)","true",""
"34","M-Pep.org","IN","http://m-pep.org http://www.m-pep.org https://m-pep.org https://www.m-pep.org","s:https|h:org|h:m-pep| s:https|h:org|h:m-pep|h:www| s:http|h:org|h:m-pep| s:http|h:org|h:m-pep|h:www|","http://www.m-pep.org","http://m-pep.org http://www.m-pep.org http://www.m-pep.org/spip.php?article1035 http://www.m-pep.org/spip.php?article1123 http://www.m-pep.org/spip.php?article2083 http://www.m-pep.org/spip.php?article2387 http://www.m-pep.org/spip.php?article699 https://m-pep.org https://www.m-pep.org","true","FINISHED","FINISHED","11","54","65","5970","204","1649241366701","2022-04-06T10:36:06.701Z","1649320472602","2022-04-07T08:34:32.602Z","archivesinternet.bnf.fr","site","association","","",""
"38","Pcf-Gresivaudan.blogspot.com","IN","http://pcf-gresivaudan.blogspot.com http://www.pcf-gresivaudan.blogspot.com https://pcf-gresivaudan.blogspot.com https://www.pcf-gresivaudan.blogspot.com","s:https|h:blogspot.com|h:pcf-gresivaudan| s:https|h:blogspot.com|h:pcf-gresivaudan|h:www| s:http|h:blogspot.com|h:pcf-gresivaudan| s:http|h:blogspot.com|h:pcf-gresivaudan|h:www|","http://pcf-gresivaudan.blogspot.com","http://pcf-gresivaudan.blogspot.com http://www.pcf-gresivaudan.blogspot.com https://pcf-gresivaudan.blogspot.com https://www.pcf-gresivaudan.blogspot.com","true","FINISHED","FINISHED","1","0","1","5","0","1649241366701","2022-04-06T10:36:06.701Z","1649320472800","2022-04-07T08:34:32.800Z","archivesinternet.bnf.fr","blog","professionnel de la politique","","",""
"41","Communistesunitaires.net","IN","http://communistesunitaires.net http://www.communistesunitaires.net https://communistesunitaires.net https://www.communistesunitaires.net","s:https|h:net|h:communistesunitaires| s:https|h:net|h:communistesunitaires|h:www| s:http|h:net|h:communistesunitaires| s:http|h:net|h:communistesunitaires|h:www|","http://www.communistesunitaires.net","http://communistesunitaires.net http://www.communistesunitaires.net http://www.communistesunitaires.net/index.php?option=com_content&task=blogcategory&id=88888891&Itemid=88888914 https://communistesunitaires.net https://www.communistesunitaires.net","true","FINISHED","FINISHED","7","55","58","3097","161","1649241366701","2022-04-06T10:36:06.701Z","1649320473958","2022-04-07T08:34:33.958Z","archivesinternet.bnf.fr","site","formation politique","","",""
"43","mcvergiat.Over-Blog.com","IN","http://mcvergiat.over-blog.com http://www.mcvergiat.over-blog.com https://mcvergiat.over-blog.com https://www.mcvergiat.over-blog.com","s:https|h:com|h:over-blog|h:mcvergiat| s:https|h:com|h:over-blog|h:mcvergiat|h:www| s:http|h:com|h:over-blog|h:mcvergiat| s:http|h:com|h:over-blog|h:mcvergiat|h:www|","http://mcvergiat.over-blog.com/top-articles.html","http://mcvergiat.over-blog.com http://mcvergiat.over-blog.com/pages/Mon_Parcours-1304328.html http://www.mcvergiat.over-blog.com https://mcvergiat.over-blog.com https://www.mcvergiat.over-blog.com","true","FINISHED","FINISHED","2","40","42","1069","115","1649241366701","2022-04-06T10:36:06.701Z","1649320474104","2022-04-07T08:34:34.104Z","Live Web + archivesinternet.bnf.fr","blog","militant","","",""
"47","Convergencesetalternative.org","IN","http://convergencesetalternative.org http://www.convergencesetalternative.org https://convergencesetalternative.org https://www.convergencesetalternative.org","s:https|h:org|h:convergencesetalternative| s:https|h:org|h:convergencesetalternative|h:www| s:http|h:org|h:convergencesetalternative| s:http|h:org|h:convergencesetalternative|h:www|","http://www.convergencesetalternative.org","http://convergencesetalternative.org http://www.convergencesetalternative.org https://convergencesetalternative.org https://www.convergencesetalternative.org","true","FINISHED","FINISHED","7","62","66","306","54","1649241366701","2022-04-06T10:36:06.701Z","1649320474378","2022-04-07T08:34:34.378Z","Live Web + archivesinternet.bnf.fr","site","formation politique","","",""
"50","danactu-resistance.Over-Blog.com","IN","http://danactu-resistance.over-blog.com http://www.danactu-resistance.over-blog.com https://danactu-resistance.over-blog.com https://www.danactu-resistance.over-blog.com","s:https|h:com|h:over-blog|h:danactu-resistance| s:https|h:com|h:over-blog|h:danactu-resistance|h:www| s:http|h:com|h:over-blog|h:danactu-resistance| s:http|h:com|h:over-blog|h:danactu-resistance|h:www|","http://danactu-resistance.over-blog.com/rss-articles.xml","http://danactu-resistance.over-blog.com http://danactu-resistance.over-blog.com/article-clementine-autain-et-la-fase-rejoignent-le-front-de-gauche-76871434.html http://www.danactu-resistance.over-blog.com https://danactu-resistance.over-blog.com https://www.danactu-resistance.over-blog.com","true","FINISHED","FINISHED","1","77","78","300","17","1649241366701","2022-04-06T10:36:06.701Z","1649320474747","2022-04-07T08:34:34.747Z","Live Web + archivesinternet.bnf.fr","blog","militant","","",""
"75","Lepartidelagauche.fr","IN","http://lepartidelagauche.fr http://www.lepartidelagauche.fr https://lepartidelagauche.fr https://www.lepartidelagauche.fr","s:https|h:fr|h:lepartidelagauche| s:https|h:fr|h:lepartidelagauche|h:www| s:http|h:fr|h:lepartidelagauche| s:http|h:fr|h:lepartidelagauche|h:www|","http://lepartidelagauche.fr","http://lepartidelagauche.fr http://www.lepartidelagauche.fr https://lepartidelagauche.fr https://www.lepartidelagauche.fr","true","FINISHED","FINISHED","0","0","0","2","2","1649241371538","2022-04-06T10:36:11.538Z","1649320475012","2022-04-07T08:34:35.012Z","Live Web + archivesinternet.bnf.fr","site","formation politique","","",""
"82","Jacquesgenereux.fr","IN","http://jacquesgenereux.fr http://www.jacquesgenereux.fr https://jacquesgenereux.fr https://www.jacquesgenereux.fr","s:https|h:fr|h:jacquesgenereux| s:https|h:fr|h:jacquesgenereux|h:www| s:http|h:fr|h:jacquesgenereux| s:http|h:fr|h:jacquesgenereux|h:www|","http://jacquesgenereux.fr","http://jacquesgenereux.fr http://jacquesgenereux.fr/news/pourquoi-je-quitte-le-ps http://www.jacquesgenereux.fr https://jacquesgenereux.fr https://www.jacquesgenereux.fr","true","FINISHED","FINISHED","11","97","104","1023","88","1649241376234","2022-04-06T10:36:16.234Z","1649328520646","2022-04-07T10:48:40.646Z","archivesinternet.bnf.fr","site","militant","","",""
"92","Guengl.eu","IN","http://guengl.eu http://www.guengl.eu https://guengl.eu https://www.guengl.eu","s:https|h:eu|h:guengl| s:https|h:eu|h:guengl|h:www| s:http|h:eu|h:guengl| s:http|h:eu|h:guengl|h:www|","http://www.guengl.eu/showPage.jsp","http://guengl.eu http://www.guengl.eu http://www.guengl.eu/showPage.jsp http://www.guengl.eu/showPage.jsp?ID=1 http://www.guengl.eu/showPage.php?ID=9850&LANG=2&FORCELANG=1 http://www.guengl.eu/showPage.php?ID=9856&LANG=2&FORCELANG=1 https://guengl.eu https://www.guengl.eu","true","FINISHED","FINISHED","8","6","14","155","122","1649247680281","2022-04-06T12:21:20.281Z","1649328331511","2022-04-07T10:45:31.511Z","archivesinternet.bnf.fr","site","formation politique","","",""
"99","Gabrielamard.fr","IN","http://gabrielamard.fr http://www.gabrielamard.fr https://gabrielamard.fr https://www.gabrielamard.fr","s:https|h:fr|h:gabrielamard| s:https|h:fr|h:gabrielamard|h:www| s:http|h:fr|h:gabrielamard| s:http|h:fr|h:gabrielamard|h:www|","http://www.gabrielamard.fr","http://gabrielamard.fr http://www.gabrielamard.fr http://www.gabrielamard.fr/index.php?option=com_content&view=article&id=51&Itemid=103 http://www.gabrielamard.fr/pdf/commandeLivre.pdf https://gabrielamard.fr https://www.gabrielamard.fr","true","FINISHED","FINISHED","11","43","47","279","45","1649247753622","2022-04-06T12:22:33.622Z","1649320475265","2022-04-07T08:34:35.265Z","Live Web + archivesinternet.bnf.fr","blog","professionnel de la politique","","",""
"102","Olivier-Dartigolles.com","IN","http://olivier-dartigolles.com http://www.olivier-dartigolles.com https://olivier-dartigolles.com https://www.olivier-dartigolles.com","s:https|h:com|h:olivier-dartigolles| s:https|h:com|h:olivier-dartigolles|h:www| s:http|h:com|h:olivier-dartigolles| s:http|h:com|h:olivier-dartigolles|h:www|","http://www.olivier-dartigolles.com","http://olivier-dartigolles.com http://www.olivier-dartigolles.com http://www.olivier-dartigolles.com/?post%2F2011%2F09%2F22%2FTroy-Davis-a-%C3%A9t%C3%A9-%C3%A9x%C3%A9cut%C3%A9. http://www.olivier-dartigolles.com/?post%2F2011%2F09%2F25%2FOn-continue. http://www.olivier-dartigolles.com/?post%2F2011%2F09%2F27%2FDe-l-usine-au-conseil-de-s%C3%A9curit%C3%A9-de-l-Onu. https://olivier-dartigolles.com https://www.olivier-dartigolles.com","true","FINISHED","FINISHED","3","35","37","1777","90","1649247753622","2022-04-06T12:22:33.622Z","1649335186986","2022-04-07T12:39:46.986Z","archivesinternet.bnf.fr","blog","professionnel de la politique","","",""
"104","Twitter.com /LePartideGauche","IN","http://twitter.com/LePartideGauche http://www.twitter.com/LePartideGauche https://twitter.com/LePartideGauche https://www.twitter.com/LePartideGauche","s:https|h:com|h:twitter|h:www|p:LePartideGauche| s:https|h:com|h:twitter|p:LePartideGauche| s:http|h:com|h:twitter|h:www|p:LePartideGauche| s:http|h:com|h:twitter|p:LePartideGauche|","http://twitter.com/LePartideGauche","http://twitter.com/LePartideGauche http://www.twitter.com/LePartideGauche https://twitter.com/LePartideGauche https://www.twitter.com/LePartideGauche","true","FINISHED","FINISHED","2","155","156","76","32","1649247757745","2022-04-06T12:22:37.745Z","1649327910157","2022-04-07T10:38:30.157Z","archivesinternet.bnf.fr","réseau social","formation politique","","",""
"111","Romain-Jammes.fr","IN","http://romain-jammes.fr http://www.romain-jammes.fr https://romain-jammes.fr https://www.romain-jammes.fr","s:https|h:fr|h:romain-jammes| s:https|h:fr|h:romain-jammes|h:www| s:http|h:fr|h:romain-jammes| s:http|h:fr|h:romain-jammes|h:www|","http://www.romain-jammes.fr","http://romain-jammes.fr http://www.romain-jammes.fr http://www.romain-jammes.fr/?p=1301 http://www.romain-jammes.fr/?p=1330 http://www.romain-jammes.fr/?p=1667 https://romain-jammes.fr https://www.romain-jammes.fr","true","FINISHED","FINISHED","5","0","5","6","3","1649247761047","2022-04-06T12:22:41.047Z","1649338881183","2022-04-07T13:41:21.183Z","archivesinternet.bnf.fr","blog","militant","","",""
"156","Eric-Coquerel.fr","IN","http://eric-coquerel.fr http://www.eric-coquerel.fr https://eric-coquerel.fr https://www.eric-coquerel.fr","s:https|h:fr|h:eric-coquerel| s:https|h:fr|h:eric-coquerel|h:www| s:http|h:fr|h:eric-coquerel| s:http|h:fr|h:eric-coquerel|h:www|","http://www.eric-coquerel.fr","http://eric-coquerel.fr http://www.eric-coquerel.fr http://www.eric-coquerel.fr/?p=297 http://www.eric-coquerel.fr/?p=539 http://www.eric-coquerel.fr/?p=714 http://www.eric-coquerel.fr/?p=736 https://eric-coquerel.fr https://www.eric-coquerel.fr","true","FINISHED","FINISHED","8","18","21","75","71","1649247868469","2022-04-06T12:24:28.469Z","1649328116423","2022-04-07T10:41:56.423Z","archivesinternet.bnf.fr","blog","professionnel de la politique","","",""
"166","Penseelibre.fr","IN","http://penseelibre.fr http://www.penseelibre.fr https://penseelibre.fr https://www.penseelibre.fr","s:https|h:fr|h:penseelibre| s:https|h:fr|h:penseelibre|h:www| s:http|h:fr|h:penseelibre| s:http|h:fr|h:penseelibre|h:www|","http://www.penseelibre.fr","http://www.penseelibre.fr","true","FINISHED","FINISHED","13","182","184","1512","76","1649247914906","2022-04-06T12:25:14.906Z","1649328939381","2022-04-07T10:55:39.381Z","archivesinternet.bnf.fr","site","militant","","",""
"170","Francoisdelapierre.fr","IN","http://francoisdelapierre.fr http://www.francoisdelapierre.fr https://francoisdelapierre.fr https://www.francoisdelapierre.fr","s:https|h:fr|h:francoisdelapierre| s:https|h:fr|h:francoisdelapierre|h:www| s:http|h:fr|h:francoisdelapierre| s:http|h:fr|h:francoisdelapierre|h:www|","http://www.francoisdelapierre.fr","http://blog.francoisdelapierre.fr http://francoisdelapierre.fr http://www.francoisdelapierre.fr http://www.francoisdelapierre.fr/me-contacter/ https://francoisdelapierre.fr https://www.francoisdelapierre.fr","true","FINISHED","FINISHED","13","10","21","151","45","1649247914906","2022-04-06T12:25:14.906Z","1649320475400","2022-04-07T08:34:35.400Z","Live Web + archivesinternet.bnf.fr","blog","professionnel de la politique","","",""
"173","fatimabenomar.Wordpress.com","IN","http://fatimabenomar.wordpress.com http://www.fatimabenomar.wordpress.com https://fatimabenomar.wordpress.com https://www.fatimabenomar.wordpress.com","s:https|h:com|h:wordpress|h:fatimabenomar| s:https|h:com|h:wordpress|h:fatimabenomar|h:www| s:http|h:com|h:wordpress|h:fatimabenomar| s:http|h:com|h:wordpress|h:fatimabenomar|h:www|","http://fatimabenomar.wordpress.com","http://fatimabenomar.wordpress.com http://www.fatimabenomar.wordpress.com https://fatimabenomar.wordpress.com https://www.fatimabenomar.wordpress.com","true","FINISHED","FINISHED","5","81","82","435","28","1649247914906","2022-04-06T12:25:14.906Z","1649327776307","2022-04-07T10:36:16.307Z","archivesinternet.bnf.fr","blog","professionnel de la politique","","",""
"196","Blogfinel.com","IN","http://blogfinel.com http://www.blogfinel.com https://blogfinel.com https://www.blogfinel.com","s:https|h:com|h:blogfinel| s:https|h:com|h:blogfinel|h:www| s:http|h:com|h:blogfinel| s:http|h:com|h:blogfinel|h:www|","http://www.blogfinel.com","http://blogfinel.com http://www.blogfinel.com https://blogfinel.com https://www.blogfinel.com","true","FINISHED","FINISHED","6","10","14","1614","176","1649248024854","2022-04-06T12:27:04.854Z","1649328072399","2022-04-07T10:41:12.399Z","archivesinternet.bnf.fr","blog","professionnel de la politique","","",""
