"Collecte";"URL de départ";"Fréquence";"Thème";"Mots clés";"Informations descriptives complémentaires";"Historique des URL"
"Presse payante (PP)";"https://lesjours.fr";"1 fois par jour";"presse nationale";"pure player";"non diffusées";
"Presse payante (PP)";"http://www.aisnenouvelle.fr";"1 fois par jour";"presse locale";"non renseigné";"non diffusées";
"Presse payante (PP)";"https://www.bienpublic.com";"1 fois par jour";"presse locale";"Bourgogne";"non diffusées";"http://www.bienpublic.com (17/01/2019)"
"Presse payante (PP)";"https://www.centrepresseaveyron.fr";"1 fois par jour";"presse locale";"Midi-Pyrénées";"non diffusées";"http://www.centre-presse.fr (23/04/2014) / http://www.centrepresseaveyron.fr (17/01/2019)"
"Presse payante (PP)";"https://www.centre-presse.fr";"1 fois par jour";"presse locale";"non renseigné";"non diffusées";"http://www.centre-presse.fr (17/01/2019)"
"Presse payante (PP)";"http://www.charentelibre.fr";"1 fois par jour";"presse locale";"Poitou-Charentes";"non diffusées";
"Presse payante (PP)";"https://www.courrierdelouest.fr";"1 fois par jour";"presse locale";"non renseigné";"non diffusées";"http://www.courrierdelouest.fr (17/01/2019)"
"Presse payante (PP)";"http://www.courrier-picard.fr";"1 fois par jour";"presse locale";"non renseigné";"non diffusées";
"Presse payante (PP)";"https://www.dna.fr";"1 fois par jour";"presse locale";"Alsace";"non diffusées";"http://www.dna.fr (17/01/2019)"
"Presse payante (PP)";"https://www.estrepublicain.fr";"1 fois par jour";"presse locale";"Franche-Comté / Lorraine";"non diffusées";"http://www.estrepublicain.fr (17/01/2019)"
"Presse payante (PP)";"https://www.humanite.fr";"1 fois par jour";"presse nationale";"non renseigné";"non diffusées";
"Presse payante (PP)";"https://www.ladepeche.fr";"1 fois par jour";"presse locale";"Midi-Pyrénées / Aquitaine / Languedoc-Roussillon";"non diffusées";"http://www.ladepeche.fr (17/01/2019)"
"Presse payante (PP)";"https://www.lalsace.fr";"1 fois par jour";"presse locale";"Alsace / Franche-Comté";"non diffusées";"http://www.lalsace.fr (17/01/2019)"
"Presse payante (PP)";"https://www.lamontagne.fr";"1 fois par jour";"presse locale";"Auvergne / Limousin";"non diffusées";"http://www.lamontagne.fr (17/01/2019)"
"Presse payante (PP)";"https://www.lanouvellerepublique.fr";"1 fois par jour";"presse locale";"Centre / Poitou-Charentes";"non diffusées";"http://www.lanouvellerepublique.fr (17/01/2019)"
"Presse payante (PP)";"https://www.laprovence.com";"1 fois par jour";"presse locale";"non renseigné";"non diffusées";"http://www.laprovence.com (17/01/2019)"
"Presse payante (PP)";"https://www.larep.fr";"1 fois par jour";"presse locale";"Centre";"non diffusées";"http://www.larep.fr (17/01/2019)"
"Presse payante (PP)";"https://www.latribune.fr";"1 fois par jour";"presse nationale";"non renseigné";"non diffusées";"http://www.latribune.fr/edition-quotidienne/liste-des-editions-quotidiennes.html (15/10/2013) / http://www.latribune.fr (17/01/2019)"
"Presse payante (PP)";"http://www.lavoixdunord.fr";"1 fois par jour";"presse locale";"non renseigné";"non diffusées";
"Presse payante (PP)";"https://www.leberry.fr";"1 fois par jour";"presse locale";"Centre";"non diffusées";"http://www.leberry.fr (17/01/2019)"
"Presse payante (PP)";"https://www.lechorepublicain.fr";"1 fois par jour";"presse locale";"Centre";"non diffusées";"http://www.lechorepublicain.fr (17/01/2019)"
"Presse payante (PP)";"https://www.ledauphine.com";"1 fois par jour";"presse locale";"Rhône-Alpes / Provence-Alpes-Côte d'Azur";"non diffusées";"http://www.ledauphine.com (17/01/2019)"
"Presse payante (PP)";"https://www.lejdc.fr";"1 fois par jour";"presse locale";"Bourgogne";"non diffusées";"http://www.lejdc.fr (17/01/2019)"
"Presse payante (PP)";"https://www.lejsl.com";"1 fois par jour";"presse locale";"Bourgogne";"non diffusées";"http://www.lejsl.com (17/01/2019)"
"Presse payante (PP)";"https://www.lemainelibre.fr";"1 fois par jour";"presse locale";"non renseigné";"non diffusées";"http://www.lemainelibre.fr (17/01/2019)"
"Presse payante (PP)";"https://www.lepopulaire.fr";"1 fois par jour";"presse locale";"Limousin";"non diffusées";"http://www.lepopulaire.fr (17/01/2019)"
"Presse payante (PP)";"https://www.leprogres.fr";"1 fois par jour";"presse locale";"Franche-Comté / Rhône-Alpes";"non diffusées";"http://www.leprogres.fr/fr/pdf/ParutionsPDF.aspx (15/10/2013) / http://www.leprogres.fr (17/01/2019)"
"Presse payante (PP)";"http://www.lest-eclair.fr";"1 fois par jour";"presse locale";"non renseigné";"non diffusées";
"Presse payante (PP)";"https://www.letelegramme.fr";"1 fois par jour";"presse locale";"non renseigné";"non diffusées";
"Presse payante (PP)";"http://www.liberation-champagne.fr";"1 fois par jour";"presse locale";"non renseigné";"non diffusées";
"Presse payante (PP)";"https://www.lindependant.fr";"1 fois par jour";"presse locale";"Languedoc-Roussillon";"non diffusées";"http://journaux.midilibre.fr/journauxjdm2013 (27/09/2013) / http://journaux.midilibre.fr/journauxjdm_ind_cp (15/10/2013) / http://www.lindependant.fr (17/01/2019)"
"Presse payante (PP)";"http://www.lunion.fr";"1 fois par jour";"presse locale";"non renseigné";"non diffusées";
"Presse payante (PP)";"https://www.lyonne.fr";"1 fois par jour";"presse locale";"Bourgogne";"non diffusées";"http://www.lyonne.fr (17/01/2019)"
"Presse payante (PP)";"https://www.mediacites.fr";"1 fois par jour";"presse locale";"pure player";"non diffusées";
"Presse payante (PP)";"https://www.mediapart.fr";"1 fois par jour";"presse nationale";"Médiapart";"non diffusées";"http://www.mediapart.fr (17/01/2019)"
"Presse payante (PP)";"https://www.midilibre.fr";"1 fois par jour";"presse locale";"Midi-Pyrénées / Languedoc-Roussillon";"non diffusées";"http://profil.midilibre.fr/telechargement/ (15/10/2013) / http://www.midilibre.fr (28/06/2018)"
"Presse payante (PP)";"https://www.nicematin.com";"1 fois par jour";"presse locale";"Provence-Alpes-Côte-d'Azur";"non diffusées";
"Presse payante (PP)";"http://www.nordeclair.fr";"1 fois par jour";"presse locale";"non renseigné";"non diffusées";
"Presse payante (PP)";"http://www.nordlittoral.fr";"1 fois par jour";"presse locale";"non renseigné";"non diffusées";
"Presse payante (PP)";"http://www.ouestfrance-enligne.com";"1 fois par jour";"presse locale";"Ouest-France / Pays-de-la-Loire / Basse-Normandie / Bretagne";"non diffusées";"http://www.ouestfrance-enligne.com (19/07/2013) / http://www.ouestfrance-enligne.com/scripts/consult/pdf/PDF_edition.asp (15/10/2013)"
"Presse payante (PP)";"https://www.paris-normandie.fr";"1 fois par jour";"presse locale";"non renseigné";"non diffusées";"http://www.paris-normandie.fr (17/01/2019)"
"Presse payante (PP)";"https://www.presseocean.fr";"1 fois par jour";"presse locale";"non renseigné";"non diffusées";"http://www.presseocean.fr (17/01/2019)"
"Presse payante (PP)";"https://www.republicain-lorrain.fr";"1 fois par jour";"presse locale";"Lorraine";"non diffusées";"http://www.republicain-lorrain.fr/fr/editions-numeriques/liste-parutions.html (15/10/2013) / http://www.republicain-lorrain.fr (17/01/2019)"
"Presse payante (PP)";"https://www.sudouest.fr";"1 fois par jour";"presse locale";"non renseigné";"non diffusées";"http://www.sudouest.fr (17/01/2019)"
"Presse payante (PP)";"https://www.varmatin.com";"1 fois par jour";"presse locale";"Provence-Alpes-Côte-d'Azur";"non diffusées";
"Presse payante (PP)";"https://www.vosgesmatin.fr";"1 fois par jour";"presse locale";"Lorraine";"non diffusées";"http://www.vosgesmatin.fr (17/01/2019)"
