Id,type,total
adn,theme,30446
FIV,theme,24216
genes,theme,122620
chretien,theme,243749
brevets,theme,63095
embryon,theme,28303
clonage,theme,41016
telethon,theme,17787
vache_folle,theme,159688
avortement,theme,88533
bioethique,theme,45776
souches,theme,39037
eugenisme,theme,5989
genome,theme,18962
ogm,theme,4498
transgenetique,theme,23864
bayer,theme,4499
vouzemoi.net,domaine,36158
chiennesdegarde.org,domaine,88401
ladepeche.com,domaine,147795
levillage.org,domaine,8684
chevenement2002.com,domaine,32714
pcf.fr,domaine,44814
topchretien.com,domaine,86307
generation-ecologie.com,domaine,10652
teaser.fr,domaine,6308
senat.fr,domaine,15247
derstandard.at,domaine,12540
presidentielles.net,domaine,31955
assemblee-nationale.fr,domaine,10697
france-sites.com,domaine,1300
mei-fr.org,domaine,3908
samizdat.net,domaine,3261
mhr-viandes.com,domaine,6968
lcr-rouge.org,domaine,12449
journaldunet.com,domaine,5390
largeur.com,domaine,19082
eu.org,domaine,7532
les-verts.org,domaine,10034
fluctuat.net,domaine,2122
wanadoo.fr,domaine,4851
actupp.org,domaine,1677
chevenement.net,domaine,1499
chiracaveclafrance.net,domaine,34475
academie-sciences.fr,domaine,450
lycos.fr,domaine,1741
free.fr,domaine,8207
mauvaisgenres.com,domaine,780
turigoloukoi.com,domaine,89
demlib.com,domaine,12284
gauchestory.com,domaine,38219
raslfront.org,domaine,1274
terredescale.net,domaine,246
touscitoyens.org,domaine,192
u-m-p.org,domaine,16437
infodujour.com,domaine,684
d-l-c.org,domaine,1613
publico.pt,domaine,219
temps-reels.net,domaine,1284
tempspublic.com,domaine,520
nicematin.fr,domaine,1998
reforme.net,domaine,2678
c6r-fr.org,domaine,147
laicite-republique.org,domaine,1044
ouvaton.org,domaine,866
premier-ministre.gouv.fr,domaine,5394
front-national.com,domaine,1824
christineboutin2002.com,domaine,968
citegay.fr,domaine,1178
lesverts-lorraine.org,domaine,340
mrap.asso.fr,domaine,128
online.fr,domaine,1014
parti-du-plaisir.com,domaine,33
csa.fr,domaine,198
liberation.fr,domaine,437
routard.com,domaine,1470
uzine.net,domaine,536
cidem.org,domaine,573
ctanet.fr,domaine,148
radikalweb.com,domaine,88
unite-radicale.com,domaine,634
france2.fr,domaine,311
club-internet.fr,domaine,188
ifrance.com,domaine,143
boycottyes.com,domaine,132
democratie-continue.org,domaine,9938
elysee.fr,domaine,862
gldf.org,domaine,84
hoaxbuster.com,domaine,8
leparisien.com,domaine,218
sos-racaille.org,domaine,44
tiscali.fr,domaine,115
trdd.org,domaine,942
approches-croisees.net,domaine,67
joueb.com,domaine,48
0plus0.com,domaine,464
25lignes.org,domaine,48
issy.com,domaine,102
lemonde.fr,domaine,2405
lentreprise.com,domaine,238
yahoo.com,domaine,50
chiracvsjospin.com,domaine,2093
mpf-villiers.org,domaine,1912
udf.org,domaine,12437
m-n-r.com,domaine,6246
bruno-megret.com,domaine,1074
rpr.asso.fr,domaine,1147
jean-francoismattei.com,domaine,3734
bayrou.net,domaine,31321
mdc-france.org,domaine,1508
lapolitique.com,domaine,2971
ornitho.org,domaine,300
lafrancehumaine.net,domaine,10487
cef.fr,domaine,7593
prochoix.org,domaine,910
voila.fr,domaine,523
tf1.fr,domaine,168
ac-rouen.fr,domaine,108
latribune.fr,domaine,461
plagnol.org,domaine,108
amaurynardone.net,domaine,30
libres.org,domaine,138
sitelibre.com,domaine,36
cgt.fr,domaine,194
chez.com,domaine,300
geocities.com,domaine,140
rajf.org,domaine,80
lexpress.fr,domaine,236
fmd.asso.fr,domaine,8
lepoint.fr,domaine,12
national-hebdo.com,domaine,566
oxymore.com,domaine,50
professionpolitique.com,domaine,866
roger-mei.org,domaine,112
scrutins.net,domaine,90
lioneljospin.net,domaine,4401
spiegel.de,domaine,234
independent.co.uk,domaine,1691
auxurnescitoyens.com,domaine,431
roberthue2002.net,domaine,2622
corriere.it,domaine,504
parti-socialiste.fr,domaine,32644
corinne-lepage.com,domaine,2972
skynet.be,domaine,1372
olivierbesancenot.org,domaine,1138
sueddeutsche.de,domaine,232
nouvelledonne.net,domaine,248
planeteradicale.org,domaine,3035
2002enseignement-recherche.net,domaine,203
christianetaubira.org,domaine,1858
aschieri.net,domaine,498
expression-publique.com,domaine,75
sclerose-en-plaques.com.fr,domaine,96
herve-morin.net,domaine,188
nrc.nl,domaine,8
alternatifs.org,domaine,261
hellier2002.com,domaine,90
nzz.ch,domaine,8
laurent-dominati.net,domaine,151
lemulot.com,domaine,314
ps-paris15mitterrand.org,domaine,90
ajc.net,domaine,264
andre-gerin-depute.net,domaine,108
davidlorion.net,domaine,24
fromion.org,domaine,40
prg-2b.org,domaine,44
emmanuelle-prouet.org,domaine,33
2002pourlafrance.net,domaine,1997
ambafrance-il.org,domaine,136
bilanchirac.net,domaine,152
pcf-rhone.net,domaine,36
ps-nord.org,domaine,16
voxlatina.com,domaine,128
welt.de,domaine,2
daniel-lebigot.net,domaine,2
e1789.com,domaine,9745
voixdujura.fr,domaine,18524
ipsos.fr,domaine,569
place-publique.fr,domaine,820
interieur.gouv.fr,domaine,325
infoceane.com,domaine,114
politique-opinion.com,domaine,45
net-campagne.net,domaine,246
service-public.fr,domaine,186
ternova.com,domaine,134
libanvision.com,domaine,134
oumma.com,domaine,330
lavoixdunord.fr,domaine,144
patrickbloche.org,domaine,112
cnip.asso.fr,domaine,17
gayaube.com,domaine,114
lejsl.com,domaine,20
abc-politique.com,domaine,212
lesmauves.org,domaine,126
bilanjospin.com,domaine,148
francaix-michel.nom.fr,domaine,204
pslegislativeneuillyputeaux.com,domaine,36
tetu.com,domaine,190
versdemain.com,domaine,140
lautre.net,domaine,78
clicanoo.com,domaine,295
81.80.37.164,domaine,8
citoyen95.org,domaine,24
fcpe.asso.fr,domaine,56
fnmr.asso.fr,domaine,45
jpblazy-depute.org,domaine,84
mathieu-obadia.info,domaine,65
qrd.org,domaine,164
leparisien.fr,domaine,112
aricia.fr,domaine,67
courrier-picard.fr,domaine,108
isabelle-galesne.net,domaine,14
isabelledehouck.com,domaine,42
lesbeursavecchirac.com,domaine,22
lesbleus-gemarseille.com,domaine,58
mnr-sartrouville.com,domaine,14
agitateur.org,domaine,133
aol.fr,domaine,26
bienpublic.com,domaine,14
bizland.com,domaine,56
cahiers-pedagogiques.com,domaine,58
caullet.net,domaine,58
conscience-politique.org,domaine,101
lesechos.fr,domaine,182
lexpress.presse.fr,domaine,24
lutte-ouvriere-centre.org,domaine,8
lutte-ouvriere.org,domaine,468
perben.com,domaine,4
tony-dreyfus.org,domaine,16
uni.asso.fr,domaine,22
homme-moderne.org,domaine,22
cplus.fr,domaine,2
dualpha.com,domaine,44
figaro.net,domaine,174
francetv.fr,domaine,86
gay.com,domaine,8
globenet.org,domaine,30
godfrain.net,domaine,4
jean-marc-nesme.com,domaine,10
legislativesps69.org,domaine,33
midilibre.com,domaine,166
mjwiemert2002.net,domaine,14
nonalahaine.net,domaine,136
nouvelobs.com,domaine,106
uniondesvictimesdeletat.com,domaine,16
verts87.org,domaine,6
lepen.tv,domaine,10
pierre-albertini.com,domaine,9
scolanet.org,domaine,4
puzzletfactory.com,domaine,568
electionsverts.org,domaine,490
csa-tmo.fr,domaine,581
avecchirac.com,domaine,154
chirac33.org,domaine,110
forum-citoyen.com,domaine,122
ps-gironde.org,domaine,48
rabhi2002.net,domaine,74
lapetition.com,domaine,156
legraindesable.com,domaine,168
lipietz2002.net,domaine,120
miguet2002.com,domaine,92
jeunes-communistes.org,domaine,608
aliceleroy.org,domaine,26
alainmadelin.com,domaine,215
sitemestre.net,domaine,72
saintjosse2002.net,domaine,124
bernarddeflesselles.com,domaine,80
charlescova.com,domaine,16
francois-rochebloine.com,domaine,80
politis.fr,domaine,96
renaudmuselier.com,domaine,30
france-elections.net,domaine,14
martinebillard2002.net,domaine,67
naturellement-a-gauche.org,domaine,36
lesfemmesavecchirac.com,domaine,28
195.246.155.17,domaine,172
internationalism.org,domaine,100
les-verts-du-montargois.org,domaine,48
lionnel-luca.org,domaine,44
e-boyer.org,domaine,42
jeanlouisjoseph.com,domaine,46
213.186.36.114,domaine,32
aris.asso.fr,domaine,56
estrosi.com,domaine,48
laprovence-presse.fr,domaine,28
lesverts-rennes.org,domaine,56
marcalbouy.org,domaine,24
ovh.org,domaine,20
aol.com,domaine,23
annuaire-au-feminin.tm.fr,domaine,90
claude-goasguen.org,domaine,108
lyon-dubernard.com,domaine,33
politiquementnet.fr,domaine,12
leguerinel.com,domaine,15
agnesgc.net,domaine,12
anti-rev.org,domaine,48
axeria.com,domaine,20
claudeliebermann.com,domaine,4
d-paille-udf.org,domaine,40
dominique-martin.com,domaine,16
fresh-agency.net,domaine,20
h-arevalo.org,domaine,4
journaldespresidentielles.com,domaine,92
laurentfeutry.com,domaine,12
lutte-ouvriere-midi-pyrenees.org,domaine,8
luttes-etudiantes.com,domaine,8
philippe-folliot.com,domaine,6
pierre-morange.com,domaine,4
ps65.org,domaine,4
rpf-06.org,domaine,4
stelia.net,domaine,152
libertysurf.fr,domaine,5
mi-2002.com,domaine,9
afaa.asso.fr,domaine,18
emmanuel-hamelin.com,domaine,2
emploi-design.com,domaine,8
fnjeunesse.com,domaine,8
jacquesberthelot.com,domaine,2
mjs49.org,domaine,24
planetecologie.org,domaine,10
psangers.org,domaine,14
rpr21.org,domaine,8
socialiste-martinique.mq,domaine,2
soubien.net,domaine,26
syndicat-enseignants.org,domaine,3
verts-yvelines.org,domaine,8
verts.net,domaine,2
vertsbesancon2002.org,domaine,8
vertsdesevres.net,domaine,8
confederationpaysanne.fr,domaine,7
francinebavay.net,domaine,10
gerardborvon.org,domaine,4
centrefrance.com,domaine,632
cftc.fr,domaine,431
jeunesavecmadelin.com,domaine,445
moutoussamy.com,domaine,184
depute-dumoulin.com,domaine,92
paris-normandie.fr,domaine,59
pole-republicain.org,domaine,46
comparini.net,domaine,48
force-ouvriere.fr,domaine,54
presidentielles.org,domaine,58
paris-normandie.com,domaine,27
amipublic.com,domaine,90
frederic-esquevin.org,domaine,24
ifop.com,domaine,164
monclocher.com,domaine,25
admi.net,domaine,78
sofres.com,domaine,30
3revolution.com,domaine,17
elysee.org,domaine,34
scorbut.be,domaine,52
nordnet.fr,domaine,35
francisdemay.org,domaine,14
cisonline.org,domaine,18
ledroitpublic.com,domaine,12
udf-aix.org,domaine,40
alain-veyret.com,domaine,8
depute-vuilque.org,domaine,24
icor.fr,domaine,24
prg30.org,domaine,8
ps-paris12.org,domaine,20
patricklabrousse.org,domaine,15
alain-cousin.org,domaine,16
amidrac.com,domaine,48
gilbertlebris.net,domaine,12
lutte-ouvriere-normandie-basse.org,domaine,6
partipiednoir.org,domaine,36
puechabon.net,domaine,6
abf.asso.fr,domaine,4
andre-santini.net,domaine,6
balligand.org,domaine,4
bareges2002.com,domaine,4
bretagne.com,domaine,12
catherine-normandin.com,domaine,4
ccfd.asso.fr,domaine,4
dassault-oise.com,domaine,4
jeanclaudethomas.com,domaine,26
lcr77.org,domaine,4
lutte-ouvriere-corse.org,domaine,4
lutte-ouvriere-pays-de-la-loire.org,domaine,8
mjsfrance.org,domaine,4
nexenservices.com,domaine,4
prg17.org,domaine,4
prg78.org,domaine,8
ps-paris13e.org,domaine,4
ps44.com,domaine,4
soutienvoguet.com,domaine,4
univ-lyon2.fr,domaine,4
chirac-en-vrac.com,domaine,18
dna.fr,domaine,6
humanite.presse.fr,domaine,6
journalechange.com,domaine,8
lutte-ouvriere-normandie-haute.org,domaine,4
marylisemartins.com,domaine,2
udf24.org,domaine,10
ps87.com,domaine,10
alternance2002.com,domaine,117
brochand.net,domaine,16
conseil-constitutionnel.fr,domaine,48
jean-claude-bois.com,domaine,12
axelponiatowski.com,domaine,8
demourgues.com,domaine,8
unef.asso.fr,domaine,10
danielskowron.org,domaine,7
2002citoyensnumeriques.net,domaine,6
davidmartin-depute.org,domaine,12
maximebono.com,domaine,16
brinkster.com,domaine,4
comby.org,domaine,8
gollnisch.com,domaine,4
herouville.com,domaine,8
unahfrance.org,domaine,12
vnunet.fr,domaine,3
amf.asso.fr,domaine,7
jmbockel-depute.com,domaine,2
paternotte.info,domaine,2
ps-rueil.asso.fr,domaine,2
paoletti.nom.fr,domaine,1
giscarddestaing.com,domaine,90
noos.fr,domaine,43
pauvrete-politique.com,domaine,36
planning-familial.org,domaine,118
armes-ufa.org,domaine,4
lafrancevote.com,domaine,4
st-pierre-et-miquelon.com,domaine,4
linternaute.com,domaine,4
dominique-richard.com,domaine,2
bva.fr,domaine,45
expresso.pt,domaine,8
leprogres.fr,domaine,8
pemezec2002.com,domaine,16
80.65.232.113,domaine,7
commentvoterchirac.com,domaine,6
pschitt2002.com,domaine,6
tartrais.com,domaine,12
dieudo.com,domaine,4
2002jeunes.org,domaine,25
afjkansai.org,domaine,2
newspress.fr,domaine,40
jutier.net,domaine,25
cglparis.org,domaine,20
michelgregoire-depute.org,domaine,16
lcr54.org,domaine,2
martial-saddier.com,domaine,9
nperruchot.org,domaine,1
angelfire.com,domaine,2
2002femmes.com,domaine,437
parti-federaliste.com,domaine,44
claudebillard.net,domaine,20
internet2002-2007.org,domaine,16
chiracopoly.com,domaine,15
adami.org,domaine,14
president2002.com,domaine,14
qui-sera-president.com,domaine,20
respublica.fr,domaine,12
bernard-raynaud.com,domaine,10
cochet2002.net,domaine,10
federation-anarchiste.org,domaine,9
chassain2002.net,domaine,8
preel.net,domaine,8
renaud-dutreil.com,domaine,8
jlevain-legislatives.org,domaine,7
michelbouvard.com,domaine,7
blessig2002.org,domaine,6
gaborit-vouette.com,domaine,6
germain-giraud.com,domaine,6
jeandionis.com,domaine,6
pschitt2002.net,domaine,6
gauche-socialiste.com,domaine,5
estelle2002.com,domaine,8
fnloire.com,domaine,4
grandmanitou.net,domaine,8
jospin-et-moi.com,domaine,4
lesverts2.org,domaine,4
lexpansion.com,domaine,4
lucile2002.com,domaine,4
lutte-ouvriere-bretagne.org,domaine,4
natalieriollet2002.net,domaine,4
rodolphethomas.net,domaine,4
weblogs.com,domaine,8
verts-noisy.org,domaine,3
infini.fr,domaine,2
jbpeyronel-lesverts2002.org,domaine,10
edouardlandrain.net,domaine,5
fluideglacial.tm.fr,domaine,4
pierre-cardo.org,domaine,4
anne-hidalgo.net,domaine,2
claudereichman.com,domaine,17
georges-sarre.net,domaine,10
christophecaresche.org,domaine,9
radio-france.fr,domaine,9
davidalphand.com,domaine,8
christineboutin-legislatives.com,domaine,6
fzory.com,domaine,6
gillesgautronneau.com,domaine,6
francois-asensi.com,domaine,4
opinion-ind.presse.fr,domaine,4
lesverts4.com,domaine,4
lsdb.blogspot.com,domaine,4
cuarcan.com,domaine,3
